ch_id,mc_id,pt
ch01,EAF-1,45
ch01,EAF-2,45
ch01,EAF-3,50
ch01,EAF-4,54
ch01,RF1-1,33
ch01,RF1-2,31
ch01,CC-1,42
ch01,CC-2,36
ch01,CC-3,45
ch01,CC-4,43
ch02,EAF-1,51
ch02,EAF-2,51
ch02,EAF-3,55
ch02,EAF-4,47
ch02,RF3-1,37
ch02,RF3-2,39
ch02,CC-1,40
ch02,CC-2,45
ch02,CC-3,35
ch02,CC-4,38
ch03,EAF-1,46
ch03,EAF-2,47
ch03,EAF-3,47
ch03,EAF-4,51
ch03,CC-1,43
ch03,CC-2,43
ch03,CC-3,42
ch03,CC-4,43
ch04,EAF-1,45
ch04,EAF-2,48
ch04,EAF-3,45
ch04,EAF-4,50
ch04,RF1-1,38
ch04,RF1-2,34
ch04,CC-1,36
ch04,CC-2,37
ch04,CC-3,35
ch04,CC-4,35
ch05,EAF-1,45
ch05,EAF-2,46
ch05,EAF-3,51
ch05,EAF-4,47
ch05,CC-1,37
ch05,CC-2,38
ch05,CC-3,43
ch05,CC-4,36
ch06,EAF-1,49
ch06,EAF-2,51
ch06,EAF-3,48
ch06,EAF-4,45
ch06,RF1-1,34
ch06,RF1-2,40
ch06,RF3-1,34
ch06,RF3-2,35
ch06,CC-1,41
ch06,CC-2,45
ch06,CC-3,36
ch06,CC-4,40
ch07,EAF-1,48
ch07,EAF-2,46
ch07,EAF-3,50
ch07,EAF-4,54
ch07,RF2-1,30
ch07,RF2-2,38
ch07,RF3-1,33
ch07,RF3-2,40
ch07,CC-1,43
ch07,CC-2,39
ch07,CC-3,44
ch07,CC-4,44
ch08,EAF-1,45
ch08,EAF-2,52
ch08,EAF-3,47
ch08,EAF-4,46
ch08,RF2-1,32
ch08,RF2-2,34
ch08,RF3-1,40
ch08,RF3-2,36
ch08,CC-1,38
ch08,CC-2,38
ch08,CC-3,37
ch08,CC-4,39
ch09,EAF-1,49
ch09,EAF-2,53
ch09,EAF-3,46
ch09,EAF-4,54
ch09,RF1-1,35
ch09,RF1-2,31
ch09,CC-1,38
ch09,CC-2,35
ch09,CC-3,41
ch09,CC-4,45
ch10,EAF-1,45
ch10,EAF-2,47
ch10,EAF-3,46
ch10,EAF-4,45
ch10,RF2-1,30
ch10,RF2-2,37
ch10,CC-1,37
ch10,CC-2,42
ch10,CC-3,38
ch10,CC-4,37
ch11,EAF-1,55
ch11,EAF-2,55
ch11,EAF-3,51
ch11,EAF-4,52
ch11,RF2-1,34
ch11,RF2-2,35
ch11,CC-1,42
ch11,CC-2,43
ch11,CC-3,39
ch11,CC-4,43
ch12,EAF-1,53
ch12,EAF-2,53
ch12,EAF-3,48
ch12,EAF-4,48
ch12,RF1-1,33
ch12,RF1-2,37
ch12,RF3-1,40
ch12,RF3-2,38
ch12,CC-1,43
ch12,CC-2,42
ch12,CC-3,38
ch12,CC-4,35
ch13,EAF-1,47
ch13,EAF-2,54
ch13,EAF-3,52
ch13,EAF-4,52
ch13,RF1-1,32
ch13,RF1-2,33
ch13,CC-1,36
ch13,CC-2,40
ch13,CC-3,45
ch13,CC-4,36
ch14,EAF-1,53
ch14,EAF-2,45
ch14,EAF-3,50
ch14,EAF-4,49
ch14,RF1-1,40
ch14,RF1-2,36
ch14,RF2-1,30
ch14,RF2-2,39
ch14,CC-1,44
ch14,CC-2,35
ch14,CC-3,35
ch14,CC-4,40
ch15,EAF-1,52
ch15,EAF-2,53
ch15,EAF-3,51
ch15,EAF-4,53
ch15,CC-1,35
ch15,CC-2,40
ch15,CC-3,44
ch15,CC-4,38
ch16,EAF-1,45
ch16,EAF-2,55
ch16,EAF-3,55
ch16,EAF-4,45
ch16,CC-1,40
ch16,CC-2,44
ch16,CC-3,42
