ch_id,mc_id,pt
ch01,EAF-1,48
ch01,EAF-2,55
ch01,EAF-3,52
ch01,EAF-4,53
ch01,RF2-1,38
ch01,RF2-2,40
ch01,RF3-1,40
ch01,RF3-2,37
ch01,CC-1,39
ch01,CC-2,41
ch01,CC-3,41
ch01,CC-4,37
ch02,EAF-1,53
ch02,EAF-2,55
ch02,EAF-3,55
ch02,EAF-4,45
ch02,RF3-1,33
ch02,RF3-2,34
ch02,CC-1,42
ch02,CC-2,38
ch02,CC-3,44
ch02,CC-4,40
ch03,EAF-1,47
ch03,EAF-2,45
ch03,EAF-3,49
ch03,EAF-4,47
ch03,RF1-1,40
ch03,RF1-2,39
ch03,RF2-1,36
ch03,RF2-2,30
ch03,RF3-1,38
ch03,RF3-2,30
ch03,CC-1,38
ch03,CC-2,36
ch03,CC-3,40
ch03,CC-4,41
ch04,EAF-1,47
ch04,EAF-2,55
ch04,EAF-3,54
ch04,EAF-4,49
ch04,RF1-1,32
ch04,RF1-2,36
ch04,RF2-1,34
ch04,RF2-2,38
ch04,RF3-1,40
ch04,RF3-2,40
ch04,CC-1,45
ch04,CC-2,42
ch04,CC-3,45
ch04,CC-4,40
ch05,EAF-1,55
ch05,EAF-2,52
ch05,EAF-3,46
ch05,EAF-4,55
ch05,RF1-1,38
ch05,RF1-2,39
ch05,CC-1,44
ch05,CC-2,45
ch05,CC-3,44
ch05,CC-4,39
ch06,EAF-1,51
ch06,EAF-2,49
ch06,EAF-3,53
ch06,EAF-4,47
ch06,RF3-1,36
ch06,RF3-2,37
ch06,CC-1,45
ch06,CC-2,43
ch06,CC-3,41
ch06,CC-4,37
ch07,EAF-1,55
ch07,EAF-2,53
ch07,EAF-3,53
ch07,EAF-4,46
ch07,RF3-1,31
ch07,RF3-2,35
ch07,CC-1,42
ch07,CC-2,40
ch07,CC-3,43
ch07,CC-4,39
ch08,EAF-1,47
ch08,EAF-2,54
ch08,EAF-3,50
ch08,EAF-4,54
ch08,RF2-1,32
ch08,RF2-2,36
ch08,CC-1,38
ch08,CC-2,37
ch08,CC-3,44
ch08,CC-4,43
ch09,EAF-1,52
ch09,EAF-2,53
ch09,EAF-3,48
ch09,EAF-4,49
ch09,CC-1,36
ch09,CC-2,44
ch09,CC-3,45
ch09,CC-4,41
ch10,EAF-1,47
ch10,EAF-2,47
ch10,EAF-3,54
ch10,EAF-4,54
ch10,RF1-1,30
ch10,RF1-2,40
ch10,RF3-1,39
ch10,RF3-2,31
ch10,CC-1,37
ch10,CC-2,43
ch10,CC-3,41
ch10,CC-4,38
ch11,EAF-1,46
ch11,EAF-2,50
ch11,EAF-3,52
ch11,EAF-4,54
ch11,RF2-1,31
ch11,RF2-2,40
ch11,CC-1,44
ch11,CC-2,39
ch11,CC-3,41
ch11,CC-4,36
ch12,EAF-1,46
ch12,EAF-2,50
ch12,EAF-3,50
ch12,EAF-4,46
ch12,RF3-1,37
ch12,RF3-2,38
ch12,CC-1,45
ch12,CC-2,45
ch12,CC-3,36
ch12,CC-4,41
ch13,EAF-1,50
ch13,EAF-2,46
ch13,EAF-3,55
ch13,EAF-4,51
ch13,RF1-1,40
ch13,RF1-2,35
ch13,CC-1,42
ch13,CC-2,37
ch13,CC-3,41
ch13,CC-4,43
ch14,EAF-1,50
ch14,EAF-2,46
ch14,EAF-3,48
ch14,EAF-4,54
ch14,RF2-1,34
ch14,RF2-2,35
ch14,CC-1,42
ch14,CC-2,38
ch14,CC-3,40
ch14,CC-4,41
ch15,EAF-1,54
ch15,EAF-2,46
ch15,EAF-3,49
ch15,EAF-4,51
ch15,RF1-1,34
ch15,RF1-2,30
ch15,CC-1,44
ch15,CC-2,38
ch15,CC-3,41
ch15,CC-4,41
ch16,EAF-1,49
ch16,EAF-2,46
ch16,EAF-3,55
ch16,EAF-4,52
ch16,RF1-1,35
ch16,RF1-2,31
ch16,CC-1,39
ch16,CC-2,40
ch16,CC-3,41
ch16,CC-4,36
ch17,EAF-1,55
ch17,EAF-2,54
ch17,EAF-3,50
ch17,EAF-4,51
ch17,CC-1,42
ch17,CC-2,43
ch17,CC-3,35
ch17,CC-4,44
ch18,EAF-1,54
ch18,EAF-2,47
ch18,EAF-3,50
ch18,EAF-4,48
ch18,CC-1,35
ch18,CC-2,35
ch18,CC-3,38
ch18,CC-4,38
ch19,EAF-1,49
ch19,EAF-2,45
ch19,EAF-3,50
ch19,EAF-4,49
ch19,RF2-1,35
ch19,RF2-2,36
ch19,CC-1,44
ch19,CC-2,40
ch19,CC-3,45
ch19,CC-4,35
ch20,EAF-1,55
ch20,EAF-2,48
ch20,EAF-3,55
ch20,EAF-4,46
ch20,RF2-1,38
ch20,RF2-2,36
ch20,RF3-1,35
ch20,RF3-2,36
ch20,CC-1,41
ch20,CC-2,37
ch20,CC-3,39
ch20,CC-4,45
ch21,EAF-1,50
ch21,EAF-2,55
ch21,EAF-3,45
ch21,EAF-4,51
ch21,RF1-1,32
ch21,RF1-2,32
ch21,RF2-1,35
ch21,RF2-2,39
ch21,CC-1,45
ch21,CC-2,35
ch21,CC-3,42
ch21,CC-4,40
ch22,EAF-1,54
ch22,EAF-2,48
ch22,EAF-3,48
ch22,EAF-4,45
ch22,RF1-1,38
ch22,RF1-2,35
ch22,CC-1,43
ch22,CC-2,39
ch22,CC-3,39
ch22,CC-4,38
ch23,EAF-1,50
