ch_id,mc_id,pt
ch1,EAF-1,51
ch1,EAF-2,48
ch1,EAF-3,47
ch1,EAF-4,50
ch1,RF1-1,32
ch1,RF1-2,32
ch1,RF2-1,40
ch1,RF2-2,39
ch1,RF3-1,31
ch1,RF3-2,33
ch1,CC-1,44
ch1,CC-2,44
ch1,CC-3,36
ch1,CC-4,36
ch2,EAF-1,52
ch2,EAF-2,52
ch2,EAF-3,49
ch2,EAF-4,49
ch2,RF1-1,35
ch2,RF1-2,39
ch2,RF2-1,40
ch2,RF2-2,40
ch2,CC-1,38
ch2,CC-2,42
ch2,CC-3,41
ch2,CC-4,38
ch3,EAF-1,48
ch3,EAF-2,55
ch3,EAF-3,52
ch3,EAF-4,51
ch3,CC-1,44
ch3,CC-2,38
ch3,CC-3,40
ch3,CC-4,41
ch4,EAF-1,46
ch4,EAF-2,52
ch4,EAF-3,54
ch4,EAF-4,48
ch4,RF1-1,40
ch4,RF1-2,37
ch4,CC-1,37
ch4,CC-2,43
ch4,CC-3,40
ch4,CC-4,39
ch5,EAF-1,48
ch5,EAF-2,54
ch5,EAF-3,49
ch5,EAF-4,55
ch5,RF1-1,36
ch5,RF1-2,33
ch5,RF2-1,39
ch5,RF2-2,37
ch5,RF3-1,30
ch5,RF3-2,34
ch5,CC-1,42
ch5,CC-2,43
ch5,CC-3,38
ch5,CC-4,43
ch6,EAF-1,52
ch6,EAF-2,47
ch6,EAF-3,47
ch6,EAF-4,55
ch6,RF3-1,37
ch6,RF3-2,32
ch6,CC-1,36
ch6,CC-2,37
ch6,CC-3,37
ch6,CC-4,36
ch7,EAF-1,55
ch7,EAF-2,46
ch7,EAF-3,51
ch7,EAF-4,50
ch7,CC-1,40
ch7,CC-2,43
ch7,CC-3,41
ch7,CC-4,35
ch8,EAF-1,53
ch8,EAF-2,46
ch8,EAF-3,55
ch8,EAF-4,52
ch8,CC-1,44
ch8,CC-2,35
ch8,CC-3,44
ch8,CC-4,43
