ch_id,mc_id,pt
ch1,EAF-1,47
ch1,EAF-2,54
ch1,EAF-3,52
ch1,EAF-4,49
ch1,RF3-1,31
ch1,RF3-2,40
ch1,CC-1,36
ch1,CC-2,40
ch1,CC-3,38
ch1,CC-4,40
ch2,EAF-1,45
ch2,EAF-2,47
ch2,EAF-3,53
ch2,EAF-4,53
ch2,CC-1,39
ch2,CC-2,36
ch2,CC-3,39
ch2,CC-4,40
ch3,EAF-1,48
ch3,EAF-2,52
ch3,EAF-3,48
ch3,EAF-4,45
ch3,RF3-1,38
ch3,RF3-2,37
ch3,CC-1,44
ch3,CC-2,44
ch3,CC-3,44
ch3,CC-4,42
ch4,EAF-1,53
ch4,EAF-2,48
ch4,EAF-3,47
ch4,EAF-4,45
ch4,RF1-1,34
ch4,RF1-2,33
ch4,RF2-1,34
ch4,RF2-2,38
ch4,RF3-1,36
ch4,RF3-2,38
ch4,CC-1,41
ch4,CC-2,41
ch4,CC-3,36
ch4,CC-4,35
ch5,EAF-1,45
ch5,EAF-2,54
ch5,EAF-3,53
ch5,EAF-4,47
ch5,RF3-1,37
ch5,RF3-2,32
ch5,CC-1,41
ch5,CC-2,42
ch5,CC-3,43
ch5,CC-4,37
ch6,EAF-1,46
ch6,EAF-2,45
ch6,EAF-3,50
ch6,EAF-4,45
ch6,CC-1,39
ch6,CC-2,37
ch6,CC-3,43
ch6,CC-4,41
