ch_id,mc_id,pt
ch1,EAF-1,55
ch1,EAF-2,51
ch1,EAF-3,54
ch1,EAF-4,55
ch1,CC-1,40
ch1,CC-2,42
ch1,CC-3,40
ch1,CC-4,40
ch2,EAF-1,45
ch2,EAF-2,45
ch2,EAF-3,48
ch2,EAF-4,51
ch2,CC-1,45
ch2,CC-2,40
ch2,CC-3,43
ch2,CC-4,41
ch3,EAF-1,53
ch3,EAF-2,49
ch3,EAF-3,53
ch3,EAF-4,48
ch3,RF3-1,34
ch3,RF3-2,36
ch3,CC-1,35
ch3,CC-2,42
ch3,CC-3,37
ch3,CC-4,36
ch4,EAF-1,48
ch4,EAF-2,50
ch4,EAF-3,55
ch4,EAF-4,49
ch4,RF2-1,35
ch4,RF2-2,36
ch4,CC-1,39
ch4,CC-2,37
ch4,CC-3,42
ch4,CC-4,37
ch5,EAF-1,47
ch5,EAF-2,46
ch5,EAF-3,55
ch5,EAF-4,46
ch5,RF2-1,35
ch5,RF2-2,36
ch5,CC-1,36
ch5,CC-2,36
ch5,CC-3,39
ch5,CC-4,38
ch6,EAF-1,55
ch6,EAF-2,50
ch6,EAF-3,47
ch6,EAF-4,54
ch6,RF1-1,36
ch6,RF1-2,34
ch6,RF2-1,31
ch6,RF2-2,36
ch6,CC-1,44
ch6,CC-2,38
ch6,CC-3,37
ch6,CC-4,35
