ch_id,mc_id,pt
ch01,EAF-1,55
ch01,EAF-2,46
ch01,EAF-3,49
ch01,EAF-4,55
ch01,RF1-1,37
ch01,RF1-2,39
ch01,RF2-1,40
ch01,RF2-2,40
ch01,RF3-1,34
ch01,RF3-2,39
ch01,CC-1,38
ch01,CC-2,45
ch01,CC-3,43
ch01,CC-4,41
ch02,EAF-1,47
ch02,EAF-2,45
ch02,EAF-3,48
ch02,EAF-4,55
ch02,RF1-1,38
ch02,RF1-2,35
ch02,RF2-1,38
ch02,RF2-2,40
ch02,RF3-1,33
ch02,RF3-2,40
ch02,CC-1,40
ch02,CC-2,40
ch02,CC-3,44
ch02,CC-4,44
ch03,EAF-1,53
ch03,EAF-2,51
ch03,EAF-3,46
ch03,EAF-4,52
ch03,RF2-1,40
ch03,RF2-2,37
ch03,CC-1,45
ch03,CC-2,44
ch03,CC-3,39
ch03,CC-4,41
ch04,EAF-1,53
ch04,EAF-2,55
ch04,EAF-3,45
ch04,EAF-4,53
ch04,CC-1,45
ch04,CC-2,44
ch04,CC-3,36
ch04,CC-4,37
ch05,EAF-1,46
ch05,EAF-2,50
ch05,EAF-3,55
ch05,EAF-4,52
ch05,RF3-1,38
ch05,RF3-2,40
ch05,CC-1,40
ch05,CC-2,41
ch05,CC-3,37
ch05,CC-4,39
ch06,EAF-1,45
ch06,EAF-2,48
ch06,EAF-3,45
ch06,EAF-4,45
ch06,RF1-1,38
ch06,RF1-2,40
ch06,RF2-1,33
ch06,RF2-2,37
ch06,RF3-1,33
ch06,RF3-2,31
ch06,CC-1,37
ch06,CC-2,43
ch06,CC-3,36
ch06,CC-4,44
ch07,EAF-1,53
ch07,EAF-2,46
ch07,EAF-3,47
ch07,EAF-4,46
ch07,RF1-1,30
ch07,RF1-2,30
ch07,RF3-1,38
ch07,RF3-2,38
ch07,CC-1,44
ch07,CC-2,45
ch07,CC-3,43
ch07,CC-4,37
ch08,EAF-1,50
ch08,EAF-2,45
ch08,EAF-3,54
ch08,EAF-4,47
ch08,RF3-1,32
ch08,RF3-2,37
ch08,CC-1,41
ch08,CC-2,41
ch08,CC-3,44
ch08,CC-4,42
ch09,EAF-1,48
ch09,EAF-2,53
ch09,EAF-3,48
ch09,EAF-4,54
ch09,RF3-1,30
ch09,RF3-2,31
ch09,CC-1,35
ch09,CC-2,39
ch09,CC-3,35
ch09,CC-4,38
ch10,EAF-1,53
ch10,EAF-2,48
ch10,EAF-3,46
ch10,EAF-4,55
ch10,RF1-1,35
ch10,RF1-2,37
ch10,RF3-1,34
ch10,RF3-2,30
ch10,CC-1,41
ch10,CC-2,40
ch10,CC-3,43
ch10,CC-4,40
ch11,EAF-1,50
ch11,EAF-2,48
ch11,EAF-3,49
ch11,EAF-4,45
ch11,RF2-1,32
ch11,RF2-2,33
ch11,CC-1,41
ch11,CC-2,40
ch11,CC-3,35
ch11,CC-4,37
ch12,EAF-1,48
ch12,EAF-2,55
ch12,EAF-3,55
ch12,EAF-4,50
ch12,RF2-1,36
ch12,RF2-2,32
ch12,CC-1,44
ch12,CC-2,44
ch12,CC-3,41
ch12,CC-4,35
ch13,EAF-1,46
ch13,EAF-2,47
ch13,EAF-3,54
ch13,EAF-4,47
ch13,RF2-1,33
ch13,RF2-2,36
ch13,CC-1,45
ch13,CC-2,45
ch13,CC-3,37
ch13,CC-4,37
ch14,EAF-1,51
ch14,EAF-2,45
ch14,EAF-3,47
ch14,EAF-4,47
ch14,CC-1,44
ch14,CC-2,36
ch14,CC-3,40
ch14,CC-4,37
ch15,EAF-1,50
ch15,EAF-2,46
ch15,EAF-3,48
ch15,EAF-4,54
ch15,RF1-1,36
ch15,RF1-2,33
ch15,CC-1,42
ch15,CC-2,44
ch15,CC-3,37
ch15,CC-4,42
ch16,EAF-1,47
ch16,EAF-2,53
ch16,EAF-3,55
ch16,EAF-4,50
ch16,RF3-1,34
ch16,RF3-2,34
ch16,CC-1,36
ch16,CC-2,37
ch16,CC-3,39
ch16,CC-4,41
ch17,EAF-1,53
ch17,EAF-2,55
ch17,EAF-3,45
ch17,EAF-4,51
ch17,RF3-1,30
ch17,RF3-2,33
ch17,CC-1,37
ch17,CC-2,37
ch17,CC-3,41
ch17,CC-4,44
ch18,EAF-1,55
ch18,EAF-2,49
ch18,EAF-3,47
ch18,EAF-4,45
ch18,RF1-1,32
ch18,RF1-2,33
ch18,CC-1,35
ch18,CC-2,41
ch18,CC-3,43
ch18,CC-4,44
ch19,EAF-1,55
ch19,EAF-2,54
ch19,EAF-3,51
ch19,EAF-4,52
ch19,RF1-1,30
ch19,RF1-2,40
ch19,RF3-1,32
ch19,RF3-2,35
ch19,CC-1,35
ch19,CC-2,37
ch19,CC-3,37
ch19,CC-4,39
ch20,EAF-1,48
ch20,EAF-2,46
ch20,EAF-3,49
ch20,EAF-4,47
ch20,RF2-1,37
ch20,RF2-2,38
ch20,RF3-1,36
ch20,RF3-2,32
ch20,CC-1,41
ch20,CC-2,45
ch20,CC-3,38
ch20,CC-4,37
ch21,EAF-1,54
ch21,EAF-2,52
ch21,EAF-3,47
ch21,EAF-4,45
ch21,CC-1,43
ch21,CC-2,42
ch21,CC-3,43
ch21,CC-4,38
