ch_id,mc_id,pt
ch01,EAF-1,46
ch01,EAF-2,55
ch01,EAF-3,52
ch01,EAF-4,53
ch01,RF1-1,30
ch01,RF1-2,37
ch01,CC-1,38
ch01,CC-2,43
ch01,CC-3,44
ch01,CC-4,41
ch02,EAF-1,48
ch02,EAF-2,51
ch02,EAF-3,54
ch02,EAF-4,54
ch02,RF1-1,38
ch02,RF1-2,34
ch02,RF2-1,36
ch02,RF2-2,40
ch02,CC-1,36
ch02,CC-2,40
ch02,CC-3,37
ch02,CC-4,43
ch03,EAF-1,52
ch03,EAF-2,46
ch03,EAF-3,51
ch03,EAF-4,47
ch03,CC-1,36
ch03,CC-2,40
ch03,CC-3,40
ch03,CC-4,36
ch04,EAF-1,46
ch04,EAF-2,52
ch04,EAF-3,51
ch04,EAF-4,54
ch04,RF1-1,39
ch04,RF1-2,35
ch04,CC-1,38
ch04,CC-2,40
ch04,CC-3,40
ch04,CC-4,36
ch05,EAF-1,45
ch05,EAF-2,53
ch05,EAF-3,50
ch05,EAF-4,51
ch05,RF2-1,30
ch05,RF2-2,34
ch05,CC-1,45
ch05,CC-2,35
ch05,CC-3,37
ch05,CC-4,37
ch06,EAF-1,46
ch06,EAF-2,52
ch06,EAF-3,50
ch06,EAF-4,53
ch06,RF1-1,36
ch06,RF1-2,33
ch06,CC-1,38
ch06,CC-2,35
ch06,CC-3,44
ch06,CC-4,39
ch07,EAF-1,54
ch07,EAF-2,46
ch07,EAF-3,45
ch07,EAF-4,48
ch07,CC-1,38
ch07,CC-2,45
ch07,CC-3,37
ch07,CC-4,45
ch08,EAF-1,54
ch08,EAF-2,47
ch08,EAF-3,53
ch08,EAF-4,55
ch08,RF2-1,33
ch08,RF2-2,34
ch08,CC-1,35
ch08,CC-2,39
ch08,CC-3,37
ch08,CC-4,44
ch09,EAF-1,46
ch09,EAF-2,54
ch09,EAF-3,53
ch09,EAF-4,53
ch09,CC-1,36
ch09,CC-2,44
ch09,CC-3,41
ch09,CC-4,41
ch10,EAF-1,51
ch10,EAF-2,52
ch10,EAF-3,45
ch10,EAF-4,45
ch10,RF3-1,30
ch10,RF3-2,39
ch10,CC-1,41
ch10,CC-2,44
ch10,CC-3,45
ch10,CC-4,43
ch11,EAF-1,47
ch11,EAF-2,55
ch11,EAF-3,48
ch11,EAF-4,49
ch11,RF3-1,38
ch11,RF3-2,38
ch11,CC-1,39
ch11,CC-2,35
ch11,CC-3,42
ch11,CC-4,41
ch12,EAF-1,51
ch12,EAF-2,53
ch12,EAF-3,54
ch12,EAF-4,52
ch12,RF1-1,37
ch12,RF1-2,40
ch12,RF3-1,32
ch12,RF3-2,39
ch12,CC-1,37
ch12,CC-2,39
ch12,CC-3,45
ch12,CC-4,42
ch13,EAF-1,54
ch13,EAF-2,46
ch13,EAF-3,50
ch13,EAF-4,52
ch13,RF1-1,40
ch13,RF1-2,35
ch13,RF2-1,35
ch13,RF2-2,38
ch13,CC-1,38
ch13,CC-2,39
ch13,CC-3,41
ch13,CC-4,38
ch14,EAF-1,45
ch14,EAF-2,50
ch14,EAF-3,54
ch14,EAF-4,51
ch14,CC-1,38
ch14,CC-2,40
ch14,CC-3,38
ch14,CC-4,45
ch15,EAF-1,47
ch15,EAF-2,52
ch15,EAF-3,47
ch15,EAF-4,53
ch15,CC-1,38
ch15,CC-2,41
ch15,CC-3,36
ch15,CC-4,38
ch16,EAF-1,52
ch16,EAF-2,52
ch16,EAF-3,53
ch16,EAF-4,48
ch16,RF1-1,37
ch16,RF1-2,33
ch16,RF2-1,34
ch16,RF2-2,33
ch16,RF3-1,40
ch16,RF3-2,33
ch16,CC-1,40
ch16,CC-2,39
ch16,CC-3,41
ch16,CC-4,45
ch17,EAF-1,54
ch17,EAF-2,53
ch17,EAF-3,48
ch17,EAF-4,54
ch17,RF1-1,40
ch17,RF1-2,36
ch17,CC-1,45
ch17,CC-2,36
ch17,CC-3,40
ch17,CC-4,40
ch18,EAF-1,49
ch18,EAF-2,49
ch18,EAF-3,49
ch18,EAF-4,55
ch18,CC-1,39
ch18,CC-2,42
ch18,CC-3,41
ch18,CC-4,35
ch19,EAF-1,49
ch19,EAF-2,48
ch19,EAF-3,49
ch19,EAF-4,53
ch19,CC-1,41
ch19,CC-2,39
ch19,CC-3,35
ch19,CC-4,37
ch20,EAF-1,45
ch20,EAF-2,49
ch20,EAF-3,52
ch20,EAF-4,55
ch20,RF2-1,38
ch20,RF2-2,40
ch20,RF3-1,31
ch20,RF3-2,40
ch20,CC-1,42
ch20,CC-2,42
ch20,CC-3,38
ch20,CC-4,40
